,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source,href formula,Case Number.2
440,21-Mar-2015,2015,Unprovoked,EGYPT,0,Marsa Alam,Swimming,M,52,FATAL,Y,0,Mako shark,"E. Ritter, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.21-Egypt.pdf,2015.03.21
441,18-Mar-2015,2015,Unprovoked,USA,Hawaii,Hapuna Beach,Standing / Snorkeling,M,58,Lacerations to left forearm. Lacerations to left hand and thigh,N,11h45,"Tiger shark, 8 to 12 feet","KMBC, 3/19/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.18-Grasing.pdf,2015.03.18
442,16-Mar-2015,2015,Unprovoked,FRENCH POLYNESIA,Bora Bora,Anau,Hand feeding sharks,M,9,Hand bitten,N,10h00,Blacktip shark,"Radio1, 3/16/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.16-Bora-Bora.pdf,2015.03.16
443,11-Mar-2015,2015,Boat,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay",Fishing,M,0,Bruised in falling overboard as shark bumped boat,N,Morning,0,"Northern Star, 3/13/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.11-Graham.pdf,2015.03.11
444,10-Mar-2015,2015,Provoked,MEXICO,Sinaloa,Mazlatan,Fishing,M,36,Right hand bitten by hooked shark PROVOKED INCIDENT,N,10h20,0,"Noreste, 3/10/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.10-Mora.pdf,2015.03.10
445,07-Mar-2015,2015,Unprovoked,FRENCH POLYNESIA,Central Tuamotu,"Tupapati, Hikueru Atoll",Sitting in the water,M,18 months,Thigh bitten,N,0,Blacktip Reef shark ,"Radio1, 3/9/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.07-18-month.pdf,2015.03.07
446,15-Feb-2015,2015,Boat,ATLANTIC OCEAN,0,0,Transatlantic Rowing,0,0,"No injury, shark bit rudder",N,0,White shark,"Yorkshire Post, 3/16/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.02.15-Avalon.pdf,2015.02.15
447,14-Feb-2015,2015,Unprovoked,REUNION,d’Étang-Salé,Ravine Mula,Swimming,F,22,FATAL,Y,18h30,"Tiger shark, 3.5 m","L'Yonne Républicaine, 2/14/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.02.14-Bishop.pdf ,2015.02.14
448,09-Feb-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Surfing,M,41,FATAL,Y,10h00,3.5 to 4 m shark,"The Telegraph, 2/9/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.02.09-Nakahara.pdf,2015.02.09
449,08-Feb-2015,2015,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,M,35,Laceration & puncture wounds to right flank & hip,N,06h45,2 m to  3 m shark,"The Telegraph, 2/8/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.02.08-Reitman.pdf,2015.02.08
450,05-Feb-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach,Bodysurfing,M,0,5 minor puncture wounds to lower left leg,N,0,1.8 m shark,"The Telegraph, 1/6/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.02.05-McPhee.pdf,2015.02.05
451,30-Jan-2015,2015,Boat,AUSTRALIA,Queensland,"Nerang River, Surfer's  Paradise",Rowing,M,57,"No injury, shark's teeth scratched hull",N,05h00,"Bull shark, 1.3 m","Gold Coast Bulletin, 1/31/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.20-Carter.pdf,2015.01.30
452,27-Jan-2015,2015,Provoked,USA,Hawaii,Lahaina,Shark fishing,M,20,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,03h30,4' shark,"Huffington Post, 1/28/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.27-Pollard.pdf,2015.01.27
453,24-Jan-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Flat Rock,Surfing,M,0,"No injury, surfboard dented",N,0,0,"Northern Star, 1/26/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.24-Murray.pdf,2015.01.24
454,23-Jan-2015,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon Beach,Floating,M,24,Foot bitten,N,Afternoon,0,"Daily Dispatch, 1/31/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.23-Nel.pdf,2015.01.23
455,19-Jan-2015,2015,Boat,USA,Florida,Off Panama City,Fishing,M,0,No injury but shark bit trolling motor & rammed boat,N,0,White shark,"The Panhandle, 1/20/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.19.b-Fitzgerald-boat.pdf,2015.01.19.b
456,19-Jan-2015,2015,Invalid,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing & filming dolphins,F,0,Board snapped in two,0,0,Shark involvement not confirmed,"ABC North Coast, 1/21/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.19.a-Ellis.pdf,2015.01.19.a
457,17-Jan-2015,2015,Boat,AUSTRALIA,New South Wales,Off Blacksmith Beach,Fishing,M,0,"Shark bumped boat, no injury to occupants",N,13h45,5 m shark,"The Sydney Morning Herald, 1/18/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.17-Watson-Tinny.pdf,2015.01.17
458,16-Jan-2015,2015,Unprovoked,AUSTRALIA,New South Wales,"Mollymook Beach, Bannister Head",Filming,M,17,Bitten on hand & wrist,N,0,1.5 m shark,"Milton-Ulladulla Times, 1/16/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.16-Smith.pdf,2015.01.16
459,08-Jan-2015,2015,Invalid,USA,Florida,0,Swimming after falling overboard,M,38,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",0,Night,No shark involvement,"UPI, 1/12/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.08-Konrad.pdf,2015.01.08
460,06-Jan-2015,2015,Unprovoked,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,F,34,Severe bite to right flank,N,16h00,White shark or oceanic whitetip shark,"Britt Martin; Local10, 1/7/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.06-Webb-Martin.pdf,2015.01.06
461,03-Jan-2015,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach,Surfing,M,15,"Lacerations to lower left leg, puncture wounds to sole of left foot",N,08h00,"Raggedtooth shark, 1.3 m","Dispatch Online, 1/7/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.03-Krafft.pdf,2015.01.03
462,01-Jan-2015,2015,Unprovoked,USA,Florida,"Windsor Beach, Indian River County",0,M,12,Leg bitten,N,Afternoon,"""A small shark""","WPTV-West Palm Beach, 1/2/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.01-Child.pdf,2015.01.01
463,29-Dec-2014,2014,Unprovoked,AUSTRALIA,New South Wales,Bherwerre Beach,Surfing,0,0,Lacerations to both feet,N,Morning,2 m shark,"South Coast Register, 12/29/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/N56702014.12.29.b-Brown.pdf,2014.12.29.b
464,29-Dec-2014,2014,Unprovoked,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach,Spearfishing,M,17,FATAL,Y,Morning,"White shark, 4 to 5 m","The West Australian, 12/29/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.29.a-Muscat.pdf,2014.12.29.a
465,28-Dec-2014,2014,Sea Disaster,GREECE,0,33 nautical miles off Othonoi Island,0,0,0,"Of 9 bodies recovered, one was bitten by a shark",N,0,Shark involvement prior to death still to be determined,"Greek Reporter, 1/13/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.28.d-NormanAtlantic.pdf,2014.12.28.d
466,28-Dec-2014,2014,Invalid,SOUTH AFRICA,KwaZulu-Natal,Durban,Swimming,0,0,Minor cuts on feet,0,Morning,Shark involvement not confirmed & highly unlikely,"IOL News, 12/29/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.28.c-Durban.pdf,2014.12.28.c
467,28-Dec-2014,2014,Unprovoked,USA,California,"Montaña de Oro State Park, San Luis Obispo County ",Surfing,M,50,Injury to hip/leg,N,11h30,"White shark, 8' to 10'","R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.28.b-Swanson.pdf,2014.12.28.b
468,28-Dec-2014,2014,Provoked,AUSTRALIA,Victoria,Paradise Beach,Fishing,M,40s,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,N,Morning,1.5 m shark,"ABC.net.au, 12/28/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.28.a-ParadiseBeach.pdf,2014.12.28.a
469,Reported 23-Dec-2014,2014,Unprovoked,JAPAN,0,0,Diving / Filming,M,0,"No injury, shark snagged its teeth in diver's suit",N,0,Goblin shark,"Maxisciences.com, 12/23/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.23.R-GoblinShark.pdf,2014.12.23.R
470,15-Dec-2014,2014,Unprovoked,AUSTRALIA,Queensland,Rudder Reef,Spearfishing,M,17,FATAL,Y,11h30,Tiger shark,"Herald Sun, 12/15/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.15-DanielSmith.pdf,2014.12.15
471,Reported 03-Dec-2014,2014,Provoked,SPAIN,Granada,Off Motril,Fishing for blue sharks,M,0,Glancing bite to wrist from netted shark PROVOKED INCIDENT,N,07h00,0,"ABCandalucia, 12/3/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.03.R-Spanish-fisherman.pdf,2014.12.03.R
472,29-Nov-2014,2014,Unprovoked,AUSTRALIA,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,M,13,Minor injuries to right leg,N,Sometime between 06h00 & 08hoo,0,"The Sydney Morning Herald, 11/29/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.29-Pearman.pdf,2014.11.29
473,20-Nov-2014,2014,Provoked,MAURITIUS,Cargados Carajos Shoals (St. Brandon),0,Fishing,M,39,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",Y,0,0,A. R. Ramjatan ,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.20-Mauritius.pdf ,2014.11.20
474,19-Nov-2014,2014,Boat,AUSTRALIA,Western Australia,Freo,Fishing,M,0,"Shark chasing fish bumped boat, no injury to occupants",N,0,White shark,"The West Australian, 11/20/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.19-Freo.pdf ,2014.11.19
475,Reported 17-Nov-2014,2014,Boat,USA,California,"Franklin Point, San Mateo County",0,0,0,"Shark bumped boat, no injury to occupants",N,0,White shark,"Inquisitr, 11/17/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.17-CA-Fishermen.pdf,2014.11.17
476,16-Nov-2014,2014,Unprovoked,USA,Florida,"Indian Harbor Beach, Brevard County",Surfing,M,44,Laceration to left hand,N,13h00,2' shark,"USA Today, 11/16/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.16-IndianHarbor.pdf,2014.11.16
477,13-Nov-2014,2014,Unprovoked,USA,Hawaii,"Airplane Beach, Lahina, West Maui",Snorkeling,M,53,Laceration to left upper leg,N,13h30,1.5 m shark,"G. Kubota, Star Advertiser, 11/13/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.13-Hawaii.pdf,2014.11.13
478,10-Nov-2014,2014,Unprovoked,AUSTRALIA,New South Wales,Moonee Beach,Surfing,M,0,Minor injury to lower leg and foot,N,06h30,0,"Norhern Rivers Echo, 11/10/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.10-Moonee.pdf,2014.11.10
479,08-Nov-2014,2014,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,18,Minor injuries to hand & arm ,N,16h30,0,WPTV.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.08-FortPierce.pdf,2014.11.08
480,31-Oct-2014,2014,Unprovoked,USA,Hawaii,"North Kohala, Hawaii County",Surfing,F,34,Lacerations to fingers,N,11h00,"Tiger shark, 12'","L. Kubota, Hawaii News Now, 10/31/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.31-Clark.pdf,2014.10.31
481,29-Oct-2014,2014,Provoked,AUSTRALIA,New South Wales,Wallabi Point,Surfing,M,20,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,N,18h00,0,"The Sydney Morning Herald, 10/30/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.29-Hunt.pdf,2014.10.30
482,22-Oct-2014,2014,Unprovoked,USA,Hawaii,"Kihei, Maui",Stand-Up Paddleboarding,F,0,"No injury, paddleboard bitten",N,10h00,Tiger shark,"Hawaii News Now, 10/22/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.22-Lawrence.pdf,2014.10.22
483,20-Oct-2014,2014,Unprovoked,USA,Hawaii,"Kahului, Maui",Stand-Up Paddleboarding,M,0,"No injury, paddleboard bitten",N,08h00,0,"The Maui News, 10/21/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.20-Maui.pdf,2014.10.20
484,19-Oct-2014,2014,Boat,USA,California,"Leadbetter Beach, Santa Barbara County",Canoeing,F,0,"No injury to occupant, canoe bitten",N,0,0,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.19-Tara.pdf,2014.10.19
485,18-Oct-2014,2014,Unprovoked,USA,Hawaii,"Maalaea, South Maui",Surfing,M,0,"No injury, surfboard bitten",N,11h15,12' to 14' shark,"Star Advertiser, 10/18/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.18-Roberson.pdf,2014.10.18
486,17-Oct-2014,2014,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,F,13,"Lacerations to left calf & ankle, puncture wounds to left foot",N,06h30,1 m shark,"Sydney Morning Herald, 10/17/2014","http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.17-Olsson, pdf",2014.10.17
487,14-Oct-2014,2014,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Standing in inner tube,F,7,Lacerations to left foot,N,0,"Bull shark, 3' to 4'","TheIndyChannel, 10/16,2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.14-Bandy.pdf,2014.10.14
488,12-Oct-2014,2014,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Body surfing or Boogie boarding,F,0,Laceration to right hand/wrist,N,15h30,0,"Florida Today, 10/13/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.12-Melbourne.pdf,2014.10.12
489,11-Oct-2014,2014,Boat,AUSTRALIA,Western Australia,"Castle Rock, north of Dunsborough",Kayaking,M,0,"Kayak deflated, no injury to occupants",N,17h20,0,"Perth Now, 10/11/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.11-Dunsborough.pdf,2014.10.11
490,05-Oct-2014,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,29,Foot bitten,N,11h30,Blacktip shark,"WESH2, 10/6/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.05.b-Ross.pdf,2014.10.05.b
491,07-Oct-2014,2014,Unprovoked,USA,Florida,"Cherie Down Park, Brevard County",Fishing,F,40,Thigh bitten,N,Afternoon,0,"Click Orlando, 10/7/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.07-CherieDownPark.pdf,2014.10.07
492,05-Oct-2014,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Foot bitten,N,11h00,Blacktip shark,"WESH2, 10/6/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.05.a-Mantooth.pdf,2014.10.05.a
493,03-Oct-2014,2014,Boat,USA,California,Santa Barbara County,Kayaking,M,0,"No injury to occupant, shark/s holded  kayak",N,14h00,"White shark, 18' to 20'","R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.03.b-Kayaks2.pdf,2014.10.03.b
494,03-Oct-2014,2014,Boat,USA,California,Santa Barbara County,Kayaking ,M,0,"No injury to occupant, shark/s holded  kayak",N,11h30,White shark,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.03.a-Kayaks1.pdf,2014.10.03.a
495,02-Oct-2014,2014,Unprovoked,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,M,28,Lacerations to knee,N,17h30,8' to 10' shark,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.02.b-Vandenberg.pdf,2014.10.02.b
496,02-Oct-2014,2014,Unprovoked,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,23,"Left arm & right hand severed, lacerations to both legs",N,11h00,"2 white shark: 13' & 9""8""","9News, 2/15/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.02.a-Pollard.pdf,2014.10.02.a
497,21-Sep-2014,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0,Minor injury to left foot,N,11h30,0,"NBC2 News, 9/21/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.21-Lefebvre.pdf,2014.09.21
498,Reported 12-Sep-2014,2014,Unprovoked,FRENCH POLYNESIA,Moorea,Tiahura Lagoon,Feeding fish,F,36,Thumb & finger nipped,N,0,Blacktip shark,"LeDepeche, 9/12/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.12.R-Moorea.pdf,2014.09.13.R
499,13-Sep-2014,2014,Invalid,USA,California,"Manresa State Beach, Santa Cruz County",Surfing,M,0,"A hoax, no shark involvement",0,18h45,No shark involvement,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.13-Browning.pdf,2014.09.13
500,09-Sep-2014,2014,Unprovoked,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",Swimming,M,50,FATAL,Y,10h45,7' shark,"BBC, 9/9/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.09-Wilcox.pdf,2014.09.09
501,06-Sep-2014,2014,Unprovoked,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing ,M,43,Leg bitten,N,13h00,Bull shark,"Fox10TV.com, 9/7/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.06-Robson.pdf,2014.09.06
502,03-Sep-2014,2014,Boat,USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County",Kayaking ,F,20s,"No injury, shark bit kayak",N,18h00,"White shark, 12' to 14'","Boston Globe, 9/4/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.03-Plymouthkayakers.pdf,2014.09.03
503,02-Sep-2014,2014,Provoked,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,M,52,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N,20h00,3' to 4' shark,"WPBF.com, 9/2/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.02-FletcherBeach.pdf,2014.09.02
504,Sep-2014,2014,Unprovoked,SPAIN,Catalonia,Salou,Playing with an air mattress,M,16,Lacerations to right hand,N,0,0,"A. Brenneka, Shark Attack Survivors",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.00-Salou.pdf,2014.09.00
505,31-Aug-2014,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,F,13,Injury to left calf,N,16h40,Spinner shark,"Sun Sentinel, 8/31/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.31-Masterson.pdf,2014.08.31
506,29-Aug-2014,2014,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,17,Lacerations to shin,N,0,Spinner shark or blacktip shark,"Click Orlando, 9/12/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.29.b-Murphy.pdf,2014.08.29.b
507,29-Aug-2014,2014,Invalid,USA,Florida,"Atlantic Beach, Duval County",0,0,0,Shark involvement not confirmed,0,16h18,Shark involvement not confirmed,"Orlando Sentinel, 8/31/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.29.a-AtlanticBeach.pdf,2014.08.29.a
508,28-Aug-2014,2014,Provoked,USA,Maryland,Assateague National Seashore,Fishing,M,33,Lacerations to foot by hooked shark PROVOKED INCIDENT,N,0,0,"Delmarva Now, 8/29/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.28-Vickers.pdf,2014.08.28
509,27-Aug-2014,2014,Unprovoked,SPAIN,Alicante,Benidorm,Swimming,F,30s,Minor lacerations to posterior lower leg,N,0,small shark,"Diario Informacion, 8/29/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.27.c-Spain.pdf,2014.08.27.c
510,27-Aug-2014,2014,Unprovoked,USA,North Carolina,"Figure Eight Island,  New Hanover County",Surfing,M,29,Laceration to left hand,N,0,4' to 6' shark,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.27.b-Anderson.pdf,2014.08.27.b
511,27-Aug-2014,2014,Unprovoked,USA,South Carolina,"Surfside Beach, Horry  County",Standing,F,0,Heel bitten,N,15h00,0,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.27.a-Surfside.pdf,2014.08.27.a
512,Reported 25-Aug-2014,2014,Provoked,USA,Florida,Apalachicola Bay ,Fishing for sharks,M,0,Lacerations to forearm from hooked shark PROVOKED INCIDENT,N,0,"Bull shark, 4.5' ","Nooga.com, 8/25/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.25.R-Wiley.pdf,2014.08.25
513,24-Aug-2014,2014,Unprovoked,USA,North Carolina,"Off Masonboro Island, New Hanover County",Kite boarding,0,0,Laceration to left foot,N,0,4' shark,"C. Creswell, GSAF; WWAY, 8/24/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.24-Diggs.pdf,2014.08.24
514,16-Aug-2014,2014,Unprovoked,AUSTRALIA,Western Australia,Gnaraloo,Spearfishing,M,31,Lacerations to face and neck,N,0,reef shark,"Herald Sun, 8/21/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.16-Haling.pdf,2014.08.16
515,12-Aug-2014,2014,Unprovoked,USA,Florida,"3 to 4 miles west of Indian Pass, Gulf County",Standing,M,0,Puncture wounds and lacerations to left thigh and knee,N,11h10," Bull shark, 8'","K. Hayes / Brewton Standard, 8/19/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.15-Hayes.pdf,2014.08.12
516,10-Aug-2014,2014,Unprovoked,USA,Florida,"Hallandale Beach, Broward County",0,M,26,Puncture wounds & lacerations to foot,N,0,0,"CBS Miami, 8/11/1014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.10-Hallandale.pdf,2014.08.10
517,09-Aug-2014,2014,Unprovoked,BAHAMAS,0,0,Spearfishing,M,0,Puncture wounds to right foot and ankle,N,0,"Bull shark, 9' to 10'",A. Hindley / M. Michaelson,"http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.09.R-Hindley, pdf",2014.08.09.R
518,09-Aug-2014,2014,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,F,10,Puncture wounds to right foot & ankle,N,13h30,0,"Florida Today, 8/9/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.09-CocoaBeach.pdf,2014.08.09
519,08-Aug-2014,2014,Unprovoked,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,M,7,Minor lacerations to left heel and big toe,N,Afternoon," Bull shark, 5'","The Times-Picayune, 8/9/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.08-Trentacosta.pdf,2014.08.08
520,06-Aug-2014,2014,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Boogie boarding,M,10,Lacerations to right leg & foot,N,14h00,4' tp 5' shark,"C. Creswell, GSAF;        WCSC. 8/6/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.14-Harris.pdf,2014.08.06
521,05-Aug-2014,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,45,Lacerations to  foot,N,0,0,"Inquisitr, 8/7/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.05-Tulip.pdf,2014.08.05
522,02-Aug-2014,2014,Unprovoked,USA,Florida,"South of Cocoa Beach, Brevard County",Surfing,M,50s,Foot bitten,N,0,0,"Florida Today, 8/8/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.08-CocoaBeach.pdf,2014.08.02
523,02-Aug-2014,2014,Unprovoked,USA,Florida,"Table Beach, Brevard County",Boogie boarding,M,8,Laceration to ankle,N,13h00,0,"Florida Today, 8/2/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.02-Sanhueza.pdf,2014.08.02
524,01-Aug-2014,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Surfing,M,20,Lower limbs & thigh bitten,N,14h00,White shark,"NSRI, 8/1/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.01-Smithers.pdf,2014.08.01
525,Aug-2014,2014,Invalid,0,0,0,Sea disaster,M,0,Shark involvement prior to death not confirmed,0,0,Shark involvement not confirmed,"Associated Press, 11/27/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.00-Cuban-refugees.pdf,2014.08.00
526,27-Jul-2014,2014,Unprovoked,USA,North Carolina,"Sunset Beach, Brunswick County",Swimming,M,Teen,Left foot bitten,N,0,Possibly juvenile tiger shark,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.27-SunsetBeach.pdf,2014.07.27
527,22-Jul-2014,2014,Unprovoked,REUNION,Saint-Leu,0,Surfing,M,51,Lacerations to right wrist & calf,N,15h00,1.8 metre shark,"BFM-tv, 7/22/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.22-Rintz.pdf,2014.07.22
528,21-Jul-2014,2014,Unprovoked,USA,Florida,"Indialantic, Brevard County",Standing,M,8,Lacerations to right knee,N,Early afternoon,0,"ClickOrlando, 7/22/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.21-Crick.pdf,2014.07.21
529,20-Jul-2014,2014,Unprovoked,SPAIN,Canary Islands,"Teresita, Santa Cruz, Tenerife",Wading,0,0,Minor injury,N,0,Angel shark,"DiariodeAvisos, 7/25/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.20-Tenerife.pdf,2014.07.20
530,16-Jul-2014,2014,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Swimming,M,61,Lacerations to left foot,N,17h50,6' to 8' shark,"Maui Now, 7/16/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.16-Maui.pdf,2014.07.16
531,14-Jul-2014,2014,Unprovoked,USA,Florida,Okaloosa Island,Swimming,M,39,Puncture wounds to foot,N,14h30,4' shark,"W. Victora, Daily News, 7/15/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.14-Moore.pdf,2014.07.14
532,13-Jul-2014,2014,Invalid,BAHAMAS,West End,Tiger Beach,Shark diving,M,63,"Missing after a dive, shark involvement considered probable, but not confirmed",0,Night,Shark involvement not confirmed,"Outside, 7/14/2014",http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.13-Petty.pdf,2014.07.13
